Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
XYZ1100090	29041.3132	40853.2873	12.0531	29041.3134	40853.287	12.0537	0.2	-0.3	0.6	0.1	-0.4	0.6
XYZ1100091	29043.7555	40854.1304	12.0462	29043.7557	40854.1309	12.0461	0.2	0.5	-0.1	0.4	0.4	-0.1
XYZ1100092	29045.2917	40854.7281	12.0418	29045.2916	40854.7285	12.0422	-0.1	0.4	0.4	0.1	0.4	0.4
XYZ1100093	29037.9768	40857.1086	12.0622	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100094	29039.5916	40857.6032	12.0803	29039.5918	40857.6023	12.0811	0.2	-0.9	0.8	-0.1	-0.9	0.8
XYZ1100095	29042.0151	40858.5349	12.0711	29042.0148	40858.535	12.072	-0.3	0.1	0.9	-0.2	0.2	0.9
XYZ1100096	29043.5391	40859.2713	12.068	29043.5389	40859.2718	12.0685	-0.2	0.5	0.5	0.0	0.5	0.5
XYZ1100097	29035.8367	40862.3856	12.0702	29035.8368	40862.3845	12.0701	0.1	-1.1	-0.1	-0.3	-1.1	-0.1
XYZ1100098	29037.3711	40863.0756	12.0844	29037.3709	40863.0744	12.0844	-0.2	-1.2	0.0	-0.6	-1.0	0.0
XYZ1100099	29039.9061	40863.8541	12.0791	29039.9063	40863.8543	12.0789	0.2	0.2	-0.2	0.3	0.1	-0.2
XYZ1100100	29041.4403	40864.4655	12.0757	29041.4397	40864.4657	12.076	-0.6	0.2	0.3	-0.5	0.4	0.3
XYZ1100101	29034.5141	40865.8512	12.0595	29034.5142	40865.8501	12.0598	0.1	-1.1	0.3	-0.3	-1.1	0.3
XYZ1100102	29036.0951	40866.3243	12.0675	29036.0951	40866.3232	12.0679	0.0	-1.1	0.4	-0.4	-1.0	0.4
XYZ1100103	29038.4726	40867.5006	12.0641	29038.4726	40867.5005	12.0644	0.0	-0.1	0.3	0.0	-0.1	0.3
XYZ1100104	29040.0341	40868.023	12.0594	29040.0334	40868.0224	12.0591	-0.7	-0.6	-0.3	-0.9	-0.3	-0.3
XYZ1100105	29032.8706	40870.3812	12.0759	29032.8699	40870.3802	12.0762	-0.7	-1.0	0.3	-1.0	-0.7	0.3
XYZ1100106	29035.3255	40867.9143	12.0594	29035.3251	40867.9137	12.06	-0.4	-0.6	0.6	-0.6	-0.4	0.6
XYZ1100107	29036.7583	40871.8446	12.0869	29036.7577	40871.8443	12.0871	-0.6	-0.3	0.2	-0.7	-0.1	0.2
